Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,TimeoutBudgetSec,Error
6_blocks_sausage_s3_kao.txt,0,42,18,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_s3_kao.txt,0,42,18,3,m3: Block + Conv + Modified Facto,OK,0.927278734799287,0.077500,71116,8,0.062000,0.080000,1800,
6_blocks_sausage_s3_kao.txt,0,42,18,2,m2: Block + Conv + Simple Facto,OK,0.927278734799238,0.094500,119186,8,0.085000,0.123000,1800,
6_blocks_sausage_s3_kao.txt,0,42,18,1,m1: Block + Pure Facto,OK,0.927278734799238,8.340000,9174172,8,7.331000,8.692000,300,
6_blocks_sausage_s3_kao.txt,0,42,18,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_s3_kao.txt,0,42,19,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.972495069304002,0.108902,13560,8,0.087002,0.113661,1800,
6_blocks_sausage_s3_kao.txt,0,42,19,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_s3_kao.txt,0,42,19,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_s3_kao.txt,0,42,20,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_s3_kao.txt,0,42,20,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_s3_kao.txt,0,42,19,3,m3: Block + Conv + Modified Facto,OK,0.972495069303873,0.071000,71116,8,0.063000,0.080000,1800,
6_blocks_sausage_s3_kao.txt,0,42,19,2,m2: Block + Conv + Simple Facto,OK,0.972495069303796,0.146500,189724,8,0.143000,0.162000,1800,
6_blocks_sausage_s3_kao.txt,0,42,19,1,m1: Block + Pure Facto,OK,0.972495069303796,10.893000,12995730,8,10.862000,11.132000,300,
6_blocks_sausage_s3_kao.txt,0,42,20,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.977148599798523,0.082812,12233,8,0.081924,0.083196,1800,
6_blocks_sausage_s3_kao.txt,0,42,20,3,m3: Block + Conv + Modified Facto,OK,0.977148599798394,0.068500,71116,8,0.063000,0.083000,1800,
6_blocks_sausage_s3_kao.txt,0,42,20,2,m2: Block + Conv + Simple Facto,OK,0.977148599798310,0.222000,260756,8,0.214000,0.235000,1800,
6_blocks_sausage_s3_kao.txt,0,42,20,1,m1: Block + Pure Facto,OK,0.977148599798310,15.202500,18317764,8,15.129000,15.253000,300,
Geant2004_kao.txt,11,95,6,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
Geant2004_kao.txt,11,95,7,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
Geant2004_kao.txt,11,95,8,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
Geant2004_kao.txt,11,95,9,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
Geant2004_kao.txt,11,95,9,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
Geant2004_kao.txt,11,95,6,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.632414790000000,0.000129,7,8,0.000111,0.000295,1800,
Geant2004_kao.txt,11,95,6,4,m4: Cancela-Petingi (Nesterov),OK,0.632414790000000,0.000028,3,8,0.000024,0.000084,1800,
Geant2004_kao.txt,11,95,6,3,m3: Block + Conv + Modified Facto,OK,0.632414789999997,0.004000,3045,8,0.000000,0.016000,1800,
Geant2004_kao.txt,11,95,6,2,m2: Block + Conv + Simple Facto,OK,0.632414790007725,12.598000,14682400,8,12.500000,12.656000,1800,
Geant2004_kao.txt,11,95,6,1,m1: Block + Pure Facto,OK,0.632414790007725,44.084500,51641642,8,43.996000,44.255000,300,
Geant2004_kao.txt,11,95,7,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.699064984718100,0.000306,62,8,0.000286,0.000754,1800,
Geant2004_kao.txt,11,95,7,4,m4: Cancela-Petingi (Nesterov),OK,0.699064984718100,0.000077,14,8,0.000071,0.000093,1800,
Geant2004_kao.txt,11,95,7,3,m3: Block + Conv + Modified Facto,OK,0.699064984718097,0.006000,3371,8,0.000000,0.006000,1800,
Geant2004_kao.txt,11,95,7,2,m2: Block + Conv + Simple Facto,OK,0.699064984731161,31.611500,36934258,8,31.547000,31.726000,1800,
